figure_id,Collection,Compartment
2138601,CPTI000318,CB
2138602,CPTI001194,overview
2138603,CPTI002889,CB
2138604,CPTI100062,CB
2138605,CPTI001328,overview
2138606,CPTI001769,overview
2138607,CPTI000037,VNC
2138608,CPTI001427,overview
2138609,CPTI004189,overview
2138610,CPTI001595,CB
2138611,CPTI002562,overview
2138612,CPTI000371,OL
2138613,CPTI100062,OL
2138614,CPTI000371,CB
2138615,CPTI003472,overview
2138616,CPTI000371,MB
2138617,CPTI003605,VNC
2138618,CPTI000371,VNC
2138619,CPTI002772,VNC
2138620,CPTI002772,OL
2138621,CPTI002828,VNC
2138622,CPTI100062,MB
2138623,CPTI001277,CB
2138624,CPTI000640,MB
2138625,CPTI001277,VNC
2138626,CPTI001180,overview
2138627,CPTI001277,MB
2138628,CPTI001414,overview
2138629,CPTI001180,CB
2138630,CPTI002828,OL
2138631,CPTI001180,MB
2138632,CPTI100062,VNC
2138633,CPTI003923,MB
2138634,CPTI001180,OL
2138635,CPTI001175,overview
2138636,CPTI002889,OL
2138637,CPTI001962,OL
2138638,CPTI001962,VNC
2138639,CPTI000727,VNC
2138640,CPTI100062,overview
2138641,CPTI003323,overview
2138642,CPTI000609,OL
2138643,CPTI000640,overview
2138644,CPTI002049,MB
2138645,CPTI002907,overview
2138646,CPTI002907,OL
2138647,CPTI002907,VNC
2138648,CPTI002907,MB
2138649,CPTI002907,CB
2138650,CPTI001473,OL
2138651,CPTI000640,OL
2138652,CPTI002828,overview
2138653,CPTI000263,CB
2138654,CPTI000326,OL
2138655,CPTI000736,CB
2138656,CPTI000736,VNC
2138657,CPTI000736,OL
2138658,CPTI000736,MB
2138659,CPTI002305,MB
2138660,CPTI000326,MB
2138661,CPTI000033,VNC
2138662,CPTI000033,MB
2138663,CPTI003917,overview
2138664,CPTI002049,CB
2138665,CPTI002342,VNC
2138666,CPTI003957,OL
2138667,CPTI000609,CB
2138668,CPTI002905,overview
2138669,CPTI003490,MB
2138670,CPTI000739,overview
2138671,CPTI000739,CB
2138672,CPTI000077,overview
2138673,CPTI000609,VNC
2138674,CPTI001430,overview
2138675,CPTI001430,OL
2138676,CPTI002793,overview
2138677,CPTI002927,MB
2138678,CPTI001430,CB
2138679,CPTI000077,VNC
2138680,CPTI000609,MB
2138681,CPTI000033,overview
2138682,CPTI001430,MB
2138683,CPTI002786,VNC
2138684,CPTI001430,VNC
2138685,CPTI000326,overview
2138686,CPTI001056,overview
2138687,CPTI001740,OL
2138688,CPTI001056,OL
2138689,CPTI001473,VNC
2138690,CPTI003394,overview
2138691,CPTI003394,OL
2138692,CPTI003394,CB
2138693,CPTI003394,MB
2138694,CPTI002905,CB
2138695,CPTI004479,overview
2138696,CPTI004479,OL
2138697,CPTI000298,overview
2138698,CPTI000836,overview
2138699,CPTI000298,OL
2138700,CPTI003605,CB
2138701,CPTI000326,CB
2138702,CPTI003785,OL
2138703,CPTI003532,OL
2138704,CPTI003911,OL
2138705,CPTI000836,VNC
2138706,CPTI000298,MB
2138707,CPTI000326,VNC
2138708,CPTI000298,CB
2138709,CPTI000298,VNC
2138710,CPTI000836,CB
2138711,CPTI001409,overview
2138712,CPTI003426,overview
2138713,CPTI002103,overview
2138714,CPTI004479,CB
2138715,CPTI001455,overview
2138716,CPTI004479,VNC
2138717,CPTI100045,overview
2138718,CPTI003911,CB
2138719,CPTI003605,overview
2138720,CPTI003605,OL
2138721,CPTI000836,OL
2138722,CPTI003151,CB
2138723,CPTI003684,OL
2138724,CPTI004117,MB
2138725,CPTI000318,OL
2138726,CPTI000774,MB
2138727,CPTI004071,VNC
2138728,CPTI001473,MB
2138729,CPTI001718,OL
2138730,CPTI001775,CB
2138731,CPTI004179,MB
2138732,CPTI002049,OL
2138733,CPTI002102,VNC
2138734,CPTI000774,VNC
2138735,CPTI000038,VNC
2138736,CPTI002772,MB
2138737,CPTI001409,CB
2138738,CPTI000774,CB
2138739,CPTI000038,CB
2138740,CPTI002049,VNC
2138741,CPTI003532,VNC
2138742,CPTI004292,overview
2138743,CPTI004292,OL
2138744,CPTI004292,MB
2138745,CPTI004292,CB
2138746,CPTI004292,VNC
2138747,CPTI001659,MB
2138748,CPTI003394,VNC
2138749,CPTI004189,OL
2138750,CPTI004189,MB
2138751,CPTI004189,CB
2138752,CPTI003522,overview
2138753,CPTI003522,CB
2138754,CPTI003522,MB
2138755,CPTI003522,OL
2138756,CPTI001328,MB
2138757,CPTI000037,OL
2138758,CPTI001769,MB
2138759,CPTI000371,overview
2138760,CPTI002324,overview
2138761,CPTI000944,CB
2138762,CPTI001180,VNC
2138763,CPTI004519,overview
2138764,CPTI004519,OL
2138765,CPTI004519,MB
2138766,CPTI004519,VNC
2138767,CPTI004519,CB
2138768,CPTI004362,OL
2138769,CPTI002786,overview
2138770,CPTI003231,CB
2138771,CPTI002786,CB
2138772,CPTI002786,MB
2138773,CPTI002786,OL
2138774,CPTI004117,OL
2138775,CPTI001709,overview
2138776,CPTI001740,CB
2138777,CPTI003472,OL
2138778,CPTI003957,VNC
