figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2138228,Low,High,Moderate,Low,No,Yes,No,Yes,No,No,no,yes,no,no,,no,no,no,no,,no,no,,,
2138230,Low,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138231,Low,Moderate,Moderate,Low,No,Yes,No,No,No,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138232,Low,Low,Moderate,Low,No,Yes,No,No,Yes,Yes,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138234,High,Moderate,High,High,No,Yes,Yes,No,Yes,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138235,High,Low,High,High,Yes,Yes,Yes,No,No,No,no,no,no,no,,yes,yes,no,no,,no,no,,,
2138236,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138237,Low,Low,None,Low,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138238,High,High,Moderate,High,No,Yes,Yes,Yes,Yes,Yes,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138239,Moderate,Moderate,None,High,No,Yes,No,No,Yes,No,yes,yes,no,no,,no,no,no,no,,no,no,,,
2138240,Low,Low,Low,None,No,No,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138242,Low,Low,None,Low,No,Yes,No,No,No,No,no,no,yes,yes,,no,no,no,no,,no,no,,,
2138244,Low,High,Low,Low,No,Yes,No,Yes,Yes,No,no,no,no,no,,yes,yes,no,no,,no,no,,,
2138261,Low,Moderate,Moderate,Low,No,Yes,Yes,No,No,Yes,no,no,no,no,,no,no,no,no,,no,no,,,
2138269,Moderate,Moderate,High,Low,No,Yes,Yes,No,No,Yes,no,no,no,no,,no,no,yes,yes,,no,no,,,
