FBgID,CPTI,gene_name,figure_id,RNA_NMJ_axon,protein_NMJ_axon,Localized RNA,Localized Protein,,Both,RNA only,Protein only,,figure_id,Is RNA present in axon terminal?,,,figure_id,Is protein present in axon terminal?,,,,Is RNA present in post synaptic density?,,,,Is protein present in post synaptic density?,
FBgn0261618,CPTI003605,larp,2138185,no,no,,,,,,,,2138196,No,1,,2138196,No,1,,,No,,,,No,
FBgn0039348,CPTI002772,CG4673,2138191,no,no,,,,,,,,2138198,No,1,,2138198,No,1,,,No,,,,No,
FBgn0261988,CPTI002085,Gprk2,2138196,no,no,,,,,,,,2138200,Yes,0,,2138200,No,1,,,Yes,,,,No,
FBgn0284408,CPTI002049,trol,2138198,no,no,,,,,,,,2138201,No,1,,2138201,No,1,,,Yes,,,,No,
FBgn0000183,CPTI003522,BicD,2138200,no,no,,,,,,,,2138202,No,1,,2138202,Yes,0,,,Yes,,,,No,
FBgn0036337,CPTI004071,Adenok,2138201,no,no,,,,,,,,2138203,No,1,,2138203,No,1,,,No,,,,No,
FBgn0000261,CPTI002786,Cat,2138203,no,no,,,,,,,,2138204,Yes,0,,2138204,Yes,0,,,Yes,,,,No,
FBgn0035397,CPTI000836,CG11486,2138204,no,no,,,,,,,,2138205,Yes,0,,2138205,Yes,0,,,Yes,,,,Yes,
FBgn0039882,CPTI002646,CG11576,2138205,no,no,,,,,,,,2138206,No,1,,2138206,No,1,,,No,,,,No,
FBgn0031632,CPTI001993,CG15628,2138206,no,no,,,,,,,,2138207,Yes,0,,2138207,No,1,,,Yes,,,,No,
FBgn0033446,CPTI100012,CG1648,2138207,no,no,,,,,,,,2138208,No,1,,2138208,No,1,,,No,,,,No,
FBgn0029939,CPTI001740,CG9650,2138208,no,no,,,,,,,,2138209,No,1,,2138209,No,1,,,Yes,,,,No,
FBgn0041605,CPTI001473,cpx,2138209,no,no,,,,,,,,2138210,Yes,0,,2138210,Yes,0,,,Yes,,,,No,
FBgn0035533,CPTI003231,Cip4,2138210,no,no,,,,,,,,2138211,No,1,,2138211,No,1,,,No,,,,No,
